Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
Kendal,13
Batang,12.17
Pekalongan,12.46
Pemalang,12.02
Tegal,12.96
Brebes,12.45
Kota Magelang,14.62
Kota Surakarta,15.07
Kota Salatiga,15.46
Kota Semarang,15.57
Kota Pekalongan,12.89
Kota Tegal,13.25
D I YOGYAKARTA,15.7
Kulon Progo,14.49
Bantul,15.63
Gunung Kidul,13.4
Sleman,16.79
Kota Yogyakarta,17.66
JAWA TIMUR,13.43
Pacitan,12.69
Ponorogo,13.78
Trenggalek,12.63
Tulungagung,13.36
Blitar,12.67
Kediri,13.63
Malang,13.49
Lumajang,12.41
Jember,13.5
Banyuwangi,13.14
Bondowoso,13.33
Situbondo,13.2
Probolinggo,12.64
Pasuruan,12.78
Sidoarjo,15.22
Mojokerto,12.99
Jombang,13.61
Nganjuk,13.18
Madiun,13.27
Magetan,14.08
Ngawi,12.89
Bojonegoro,13.18
Tuban,12.54
Lamongan,14.03
Gresik,13.98
Bangkalan,11.98
Sampang,12.55
Pamekasan,13.69
Sumenep,13.59
Kota Kediri,15.71
Kota Blitar,14.81
Kota Malang,15.79
Kota Probolinggo,13.98
Kota Pasuruan,13.67
Kota Mojokerto,14.13
Kota Madiun,14.54
Kota Surabaya,14.87
Kota Batu,14.58
BANTEN,13.1
Pandeglang,13.74
Lebak,12.11
Tangerang,12.88
Serang,12.87
Kota Tangerang,13.9
Kota Cilegon,13.23
Kota Serang,12.83
Kota Tangerang Selatan,14.7
BALI,13.62
Jembrana,13.05
Tabanan,13.29
Badung,14.23
Gianyar,14.11
Klungkung,13.13
Bangli,12.53
Karangasem,12.91
Buleleng,13.3
Kota Denpasar,14.13
NUSA TENGGARA BARAT,13.98
Lombok Barat,13.99
Lombok Tengah,13.89
Lombok Timur,14.07
Sumbawa,13.34
Dompu,13.84
Bima,13.66
Sumbawa Barat,13.68
Lombok Utara,13.02
Kota Mataram,15.68
Kota Bima,15.08
NUSA TENGGARA TIMUR,13.23
Sumba Barat,13.4
Sumba Timur,12.87
Kupang,13.9
Timor Tengah Selatan,12.62
Timor Tengah Utara,13.36
Belu,12.32
Alor,12.48
Lembata,12.47
Flores Timur,12.96
Sikka,13.67
Ende,13.83
Ngada,12.75
Manggarai,13.73
Rote Ndao,13.23
Manggarai Barat,12.54
Sumba Tengah,13.14
Sumba Barat Daya,13.11
Nagekeo,12.69
Manggarai Timur,12.66
Sabu Raijua,13.19
Malaka,12.83
Kota Kupang,16.54
KALIMANTAN BARAT,12.68
Sambas,12.76
Bengkayang,12.22
Landak,12.54
Mempawah,12.9
Sanggau,11.88
Ketapang,11.97
Sintang,12.32
Kapuas Hulu,12.23
Sekadau,11.93
Melawi,11.37
Kayong Utara,12.2
Kubu Raya,13.9
Kota Pontianak,15.06
Kota Singkawang,12.95
KALIMANTAN TENGAH,12.77
Kotawaringin Barat,12.78
Kotawaringin Timur,12.89
Kapuas,13.01
Barito Selatan,13
Barito Utara,12.55
Sukamara,12.17
Lamandau,12.53
Seruyan,12.04
Katingan,12.99
Pulang Pisau,12.52
Gunung Mas,12.1
Barito Timur,12.88
Murung Raya,12.05
Kota Palangka Raya,15.13
KALIMANTAN SELATAN,12.87
Tanah Laut,12.43
Kotabaru,12.08
Banjar,13.04
Barito Kuala,12.56
Tapin,12.34
Hulu Sungai Selatan,12.48
Hulu Sungai Tengah,12.31
Hulu Sungai Utara,13.21
Tabalong,12.92
Tanah Bumbu,12.61
Balangan,13.09
Kota Banjarmasin,14.01
Kota Banjar Baru,14.86
KALIMANTAN TIMUR,14.03
Paser,13.38
Kutai Barat,13.36
Kutai Kartanegara,13.65
Kutai Timur,13.02
Berau,13.37
Penajam Paser Utara,12.87
Mahakam Ulu,12.78
Kota Balikpapan,14.25
Kota Samarinda,15.4
Kota Bontang,13.73
KALIMANTAN UTARA,13.21
Malinau,13.35
Bulungan,13.25
Tana Tidung,12.61
Nunukan,12.69
Kota Tarakan,14.22
SULAWESI UTARA,12.97
Bolaang Mongondow,11.65
Minahasa,14.19
Kepulauan Sangihe,12.61
Kepulauan Talaud,12.67
Minahasa Selatan,13.02
Minahasa Utara,13.08
Bolaang Mongondow Utara,12.39
Siau Tagulandang Biaro,12.04
Minahasa Tenggara,12.6
Bolaang Mongondow Selatan,12.34
Bolaang Mongondow Timur,11.91
Kota Manado,14.2
Kota Bitung,12.67
Kota Tomohon,14.38
Kota Kotamobagu,13.05
SULAWESI TENGAH,13.34
Banggai Kepulauan,13.11
Banggai,13.35
Morowali,13.39
Poso,13.75
Donggala,12.62
Toli-Toli,13.17
Buol,13.18
Parigi Moutong,12.52
Tojo Una-Una,12.43
Sigi,13.13
Banggai Laut,13.04
Morowali Utara,12.44
Kota Palu,16.52
SULAWESI SELATAN,13.55
Kepulauan Selayar,12.84
Bulukumba,13.45
Bantaeng,12.79
Jeneponto,12.14
Takalar,12.5
Gowa,13.71
Sinjai,13.27
Maros,13.51
Pangkajene dan Kepulauan,12.81
Barru,13.63
Bone,13.02
Soppeng,13.22
Wajo,13.32
Sidenreng Rappang,13.03
Pinrang,13.28
Enrekang,13.88
Luwu,13.43
Tana Toraja,14.1
Luwu Utara,12.61
Luwu Timur,13.18
Toraja Utara,13.43
Kota Makasar,15.62
Kota Parepare,14.55
Kota Palopo,15.13
SULAWESI TENGGARA,13.71
Buton,13.89
Muna,14.17
Konawe,13.05
Kolaka,13.04
Konawe Selatan,12.79
Bombana,11.91
Wakatobi,13.53
Kolaka Utara,12.22
Buton Utara,13.32
Konawe Utara,13.13
Kolaka Timur,12.71
Konawe Kepulauan,12.55
Muna Barat,12.74
Buton Tengah,13.22
Buton Selatan,13.36
Kota Kendari,16.92
Kota Baubau,15.53
GORONTALO,13.17
Boalemo,12.49
Gorontalo,13.22
Pohuwato,12.48
Bone Bolango,13.69
Gorontalo Utara,12.5
